ticket_id,subject,body,category,priority,sentiment,created_at,customer_tier,channel,text
TKT-1000,[Feature Request] Issue with implement - Ticket #1000,"[implement] A data retention policy configuration feature is needed for compliance. Need immediate attention on this matter.
Environment: Development",Feature Request,Medium,Neutral,2024-09-14,Pro,Phone,"[Feature Request] Issue with implement - Ticket #1000 [implement] A data retention policy configuration feature is needed for compliance. Need immediate attention on this matter.
Environment: Development"
TKT-1001,[Billing & Payments] Issue with invoice - Ticket #1001,"Hi there, The trial period ended early and we were charged before confirmation. The issue is related to invoice. Thanks for your help.",Billing & Payments,Medium,Negative,2024-06-18,Free,Phone,"[Billing & Payments] Issue with invoice - Ticket #1001 Hi there, The trial period ended early and we were charged before confirmation. The issue is related to invoice. Thanks for your help."
TKT-1002,[Service Outage] Issue with scheduled maintenance - Ticket #1002,"Hello, I need assistance with scheduled maintenance. File storage service is intermittently unavailable. Can someone look into this?
Environment: Development",Service Outage,Low,Neutral,2024-06-15,Free,Phone,"[Service Outage] Issue with scheduled maintenance - Ticket #1002 Hello, I need assistance with scheduled maintenance. File storage service is intermittently unavailable. Can someone look into this?
Environment: Development"
TKT-1003,[Service Outage] Issue with intermittent - Ticket #1003,URGENT: intermittent problem detected. Scheduled maintenance is running 3 hours over the announced window. This is affecting our operations.,Service Outage,High,Very Negative,2024-09-20,Free,Phone,[Service Outage] Issue with intermittent - Ticket #1003 URGENT: intermittent problem detected. Scheduled maintenance is running 3 hours over the announced window. This is affecting our operations.
TKT-1004,[Feature Request] Issue with would be nice - Ticket #1004,URGENT: would be nice problem detected. A dark mode option would greatly improve user experience. This is affecting our operations.,Feature Request,Low,Neutral,2024-07-09,Pro,Web Portal,[Feature Request] Issue with would be nice - Ticket #1004 URGENT: would be nice problem detected. A dark mode option would greatly improve user experience. This is affecting our operations.
TKT-1005,[Billing & Payments] Issue with upgrade - Ticket #1005,"Ticket: upgrade - Our billing address needs to be updated but the system won't save changes. Priority: High due to business impact.
Environment: Production",Billing & Payments,Medium,Neutral,2024-12-03,Basic,Web Portal,"[Billing & Payments] Issue with upgrade - Ticket #1005 Ticket: upgrade - Our billing address needs to be updated but the system won't save changes. Priority: High due to business impact.
Environment: Production"
TKT-1006,[Technical Issue] Issue with deployment - Ticket #1006,Help needed: deployment not functioning correctly. The application throws a 500 Internal Server Error when trying to save data.,Technical Issue,High,Negative,2024-03-21,Pro,Chat,[Technical Issue] Issue with deployment - Ticket #1006 Help needed: deployment not functioning correctly. The application throws a 500 Internal Server Error when trying to save data.
TKT-1007,[Account & Access] Issue with reset - Ticket #1007,"Hi there, My 2FA device was lost and I cannot access my account. The issue is related to reset. Thanks for your help.

Account ID: ACC-18392",Account & Access,Medium,Neutral,2024-02-17,Basic,Web Portal,"[Account & Access] Issue with reset - Ticket #1007 Hi there, My 2FA device was lost and I cannot access my account. The issue is related to reset. Thanks for your help.

Account ID: ACC-18392"
TKT-1008,[General Inquiry] Issue with status - Ticket #1008,"Hello, I need assistance with status. How do I migrate data from the old system to the new platform? Can someone look into this?",General Inquiry,Low,Positive,2024-05-10,Pro,Web Portal,"[General Inquiry] Issue with status - Ticket #1008 Hello, I need assistance with status. How do I migrate data from the old system to the new platform? Can someone look into this?"
TKT-1009,[Service Outage] Issue with partial outage - Ticket #1009,"Dear Support, Scheduled maintenance is running 3 hours over the announced window. This involves partial outage. Looking forward to a quick resolution.",Service Outage,High,Very Negative,2024-08-28,Basic,Web Portal,"[Service Outage] Issue with partial outage - Ticket #1009 Dear Support, Scheduled maintenance is running 3 hours over the announced window. This involves partial outage. Looking forward to a quick resolution."
TKT-1010,[Service Outage] Issue with system offline - Ticket #1010,"Hi there, SLA breach. File storage service is intermittently unavailable. The issue is related to system offline. Thanks for your help.

Account ID: ACC-91734",Service Outage,High,Negative,2024-03-06,Pro,Email,"[Service Outage] Issue with system offline - Ticket #1010 Hi there, SLA breach. File storage service is intermittently unavailable. The issue is related to system offline. Thanks for your help.

Account ID: ACC-91734"
TKT-1011,[General Inquiry] Issue with status - Ticket #1011,"Problem Report: status failure. Where can I find the API documentation for the latest version? Please escalate if needed.
Environment: Production",General Inquiry,Low,Neutral,2024-08-12,Free,Web Portal,"[General Inquiry] Issue with status - Ticket #1011 Problem Report: status failure. Where can I find the API documentation for the latest version? Please escalate if needed.
Environment: Production"
TKT-1012,[Technical Issue] Issue with API - Ticket #1012,Ticket: API - Mobile app crashes immediately upon opening on iOS devices. Priority: High due to business impact.,Technical Issue,High,Very Negative,2024-08-21,Basic,Phone,[Technical Issue] Issue with API - Ticket #1012 Ticket: API - Mobile app crashes immediately upon opening on iOS devices. Priority: High due to business impact.
TKT-1013,[Service Outage] Issue with degraded - Ticket #1013,"[degraded] SLA breach. Database cluster is in read-only mode, preventing any writes. Need immediate attention on this matter.",Service Outage,High,Very Negative,2024-04-10,Free,Email,"[Service Outage] Issue with degraded - Ticket #1013 [degraded] SLA breach. Database cluster is in read-only mode, preventing any writes. Need immediate attention on this matter."
TKT-1014,[Technical Issue] Issue with bug - Ticket #1014,URGENT: bug problem detected. Memory usage spikes to 95% and the server becomes unresponsive. This is affecting our operations.,Technical Issue,High,Negative,2024-08-05,Enterprise,Email,[Technical Issue] Issue with bug - Ticket #1014 URGENT: bug problem detected. Memory usage spikes to 95% and the server becomes unresponsive. This is affecting our operations.
TKT-1015,[Feature Request] Issue with configure - Ticket #1015,"Dear Support, We'd like to see a mobile-responsive dashboard for on-the-go monitoring. This involves configure. Looking forward to a quick resolution.

Account ID: ACC-77863",Feature Request,Medium,Negative,2024-08-27,Pro,Email,"[Feature Request] Issue with configure - Ticket #1015 Dear Support, We'd like to see a mobile-responsive dashboard for on-the-go monitoring. This involves configure. Looking forward to a quick resolution.

Account ID: ACC-77863"
TKT-1016,[Account & Access] Issue with OAuth - Ticket #1016,Problem Report: OAuth failure. I need admin access to manage team permissions but currently have viewer role. Please escalate if needed.,Account & Access,Medium,Neutral,2024-05-26,Basic,Email,[Account & Access] Issue with OAuth - Ticket #1016 Problem Report: OAuth failure. I need admin access to manage team permissions but currently have viewer role. Please escalate if needed.
TKT-1017,[Technical Issue] Issue with slow - Ticket #1017,"Hi support team, I'm experiencing an issue with slow. The build pipeline fails at the test stage with dependency conflicts. Please help resolve this as soon as possible.",Technical Issue,Low,Neutral,2024-05-30,Basic,Web Portal,"[Technical Issue] Issue with slow - Ticket #1017 Hi support team, I'm experiencing an issue with slow. The build pipeline fails at the test stage with dependency conflicts. Please help resolve this as soon as possible."
TKT-1018,[Feature Request] Issue with automation - Ticket #1018,"Incident: automation - Can you implement role-based access control with custom permissions? Impact: Multiple users affected.
Environment: Staging",Feature Request,Low,Positive,2024-02-06,Enterprise,Email,"[Feature Request] Issue with automation - Ticket #1018 Incident: automation - Can you implement role-based access control with custom permissions? Impact: Multiple users affected.
Environment: Staging"
TKT-1019,[Technical Issue] Issue with exception - Ticket #1019,"Hello, I need assistance with exception. The API endpoint /api/v2/users returns a timeout error intermittently. Can someone look into this?
Environment: Development",Technical Issue,Low,Positive,2024-04-13,Pro,Email,"[Technical Issue] Issue with exception - Ticket #1019 Hello, I need assistance with exception. The API endpoint /api/v2/users returns a timeout error intermittently. Can someone look into this?
Environment: Development"
TKT-1020,[Service Outage] Issue with unavailable - Ticket #1020,Help needed: unavailable not functioning correctly. Scheduled maintenance is running 3 hours over the announced window.,Service Outage,High,Very Negative,2024-06-17,Free,Email,[Service Outage] Issue with unavailable - Ticket #1020 Help needed: unavailable not functioning correctly. Scheduled maintenance is running 3 hours over the announced window.
TKT-1021,[Service Outage] Issue with service disrupted - Ticket #1021,"Hi there, all users. Authentication service is down, preventing all user logins. The issue is related to service disrupted. Thanks for your help.",Service Outage,High,Negative,2024-01-22,Free,Phone,"[Service Outage] Issue with service disrupted - Ticket #1021 Hi there, all users. Authentication service is down, preventing all user logins. The issue is related to service disrupted. Thanks for your help."
TKT-1022,[General Inquiry] Issue with what is - Ticket #1022,"Hello, I need assistance with what is. What is the recommended approach for handling large file uploads? Can someone look into this?",General Inquiry,Low,Positive,2024-11-12,Basic,Web Portal,"[General Inquiry] Issue with what is - Ticket #1022 Hello, I need assistance with what is. What is the recommended approach for handling large file uploads? Can someone look into this?"
